"year","country","Military_Expenditure_Billion_USD","Active_Personnel","GDP_Growth_Percent","Inflation_Rate_Percent","Conflict_Severity_Index","Significant_Event","Exports_pct_GDP","FDI_net_inflows_pct_GDP","GDP_current_USD","GDP_growth_annual_pct","GDP_per_capita_current_USD","Imports_pct_GDP","Inflation_consumer_prices_annual_pct","Life_expectancy_years","Unemployment_total_pct","Brent_Oil_Price_USD_per_barrel","periode"
1948,"USA",50.97,1421958,1.4,4.55,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1949,"USA",47.01,1437337,3.06,6.03,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1950,"USA",75.96,2800000,2.97,3.35,7,"Korean War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1951,"USA",78.28,2800000,2.54,1.72,7,"Korean War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1952,"USA",96.22,2800000,2.94,0.7,7,"Korean War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1953,"USA",90.35,2800000,2.74,1.45,7,"Korean War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1954,"USA",59.86,1387313,1.3,5.84,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1955,"USA",61.5,1420174,4.4,7.74,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1956,"USA",67.4,1335920,4.15,0.66,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1957,"USA",75.08,1378953,1.58,3.2,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1958,"USA",80.26,1496769,3.9,2.49,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1959,"USA",77.58,1340397,0.48,1.75,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1960,"USA",74.3,1386807,-0.19,0.36,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1961,"USA",88.51,1351214,-1.25,1.1,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1962,"USA",79.21,1339504,4.36,5.03,2,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1963,"USA",92.27,1326854,3.82,3.72,0,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paix"
1964,"USA",90.37,1413569,2.01,0.69,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit modéré"
1965,"USA",116.98,1494407,3.42,2.05,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
1966,"USA",125.25,1458338,3.22,7.61,8,"Vietnam War",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conflit intense"
