country,GDP_Growth_Percent,GDP_current_USD,Active_Personnel,Military_Expenditure_Billion_USD,year,periode,Significant_Event,Conflict_Severity_Index,Brent_Oil_Price_USD_per_barrel,Unemployment_total_pct,Inflation_Rate_Percent
Iran,3.28,295896620753.44885,427834,0.98,1948,Conflit modéré,None,1,90.52910572561586,10.607589733093846,10.98
Iran,5.13,295896620753.44885,481886,1.05,1949,Conflit modéré,None,1,92.88508573357876,10.589429345761346,5.5
Iran,2.96,295896620753.44885,475885,1.15,1950,Conflit modéré,None,2,95.30237908108393,10.571300049343336,8.68
Iran,2.29,295896620753.44885,387219,1.08,1951,Paix,None,0,97.78258142072536,10.553201790611638,13.91
Iran,2.25,295896620753.44885,484869,1.2,1952,Conflit modéré,None,1,100.3273299312491,10.535134516430844,8.51
Iran,1.39,295896620753.44885,450158,1.14,1953,Conflit modéré,Coup d'état,4,102.93830439825206,10.517098173751037,7.81
Iran,1.91,295896620753.44885,406264,1.08,1954,Paix,None,0,105.6172283230162,10.499092709621436,11.98
Iran,3.08,295896620753.44885,363224,1.33,1955,Conflit modéré,None,1,108.36587006017908,10.481118071174023,7.16
Iran,0.39,295896620753.44885,489649,1.25,1956,Conflit modéré,None,2,111.18604398502885,10.463174205636278,1.65
Iran,1.25,295896620753.44885,391914,1.3,1957,Paix,None,0,114.07961169116606,10.44526106032481,9.55
Iran,3.04,295896620753.44885,369956,1.28,1958,Conflit modéré,None,2,117.04848321934696,10.427378582642632,12.09
Iran,2.96,295896620753.44885,369097,1.52,1959,Conflit modéré,None,2,120.09461831829594,10.40952672009189,6.68
Iran,3.53,295896620753.44885,351759,1.51,1960,Conflit modéré,None,2,123.22002773832537,10.391705420253857,9.93
Iran,2.35,295896620753.44885,443501,1.43,1961,Paix,None,0,126.42677455864668,10.373914630807121,8.36
Iran,2.07,295896620753.44885,422847,1.58,1962,Conflit modéré,None,1,129.71697554918956,10.356154299517584,10.32
Iran,-0.66,295896620753.44885,487717,1.64,1963,Conflit modéré,None,1,133.0928025678886,10.338424374238457,6.28
Iran,4.08,295896620753.44885,415155,1.69,1964,Conflit modéré,None,2,136.5564839943263,10.32072480291572,9.24
Iran,5.17,295896620753.44885,453177,1.5,1965,Paix,None,0,140.1103062006705,10.303055533581755,6.02
Iran,5.94,295896620753.44885,455947,1.61,1966,Conflit modéré,None,2,143.75661506092547,10.285416514360804,3.48
Iran,8.64,295896620753.44885,426218,1.86,1967,Paix,None,0,147.49781749942667,10.267807693461691,10.45
